iter	RMSE
0	1.567797286
1	1.532426913
2	1.498621774
3	1.465748711
4	1.434234818
5	1.401010861
6	1.369643492
7	1.340434378
8	1.310896665
9	1.283302062
10	1.254868817
11	1.227479263
12	1.200071078
13	1.1750617
14	1.147506708
15	1.121529915
16	1.095977679
17	1.070211499
18	1.047587634
19	1.025333768
20	1.001897536
21	0.9786421125
22	0.9570614888
23	0.9366774524
24	0.9169830063
25	0.8973758704
26	0.8779828397
27	0.8584599376
28	0.8401392022
29	0.8217767706
30	0.8057357385
31	0.7877593095
32	0.7718758838
33	0.755684567
34	0.7394909854
35	0.7248570222
36	0.7096365546
37	0.6955009553
38	0.6814816447
39	0.6679796962
40	0.6565346025
41	0.64378618
42	0.6318896648
43	0.620457522
44	0.608255882
45	0.5965592075
46	0.5852326256
47	0.5740270238
48	0.5630926256
49	0.5535508223
50	0.54467844
51	0.5354519046
52	0.5261957505
53	0.5169465934
54	0.5081472635
55	0.4993864396
56	0.4908392238
57	0.4826522928
58	0.4750465772
59	0.4675973599
60	0.4599176001
61	0.4531652021
62	0.4467015721
63	0.4401036269
64	0.4338838257
65	0.4275124163
66	0.4215916936
67	0.4155816956
68	0.410426088
69	0.4052273096
70	0.3998947146
71	0.3951381556
72	0.3902048433
73	0.3857856325
74	0.3811800562
75	0.3774843129
76	0.373299741
77	0.3690075528
78	0.3648579061
79	0.3617625549
80	0.3580099428
81	0.3545118956
82	0.3510533834
83	0.3486564239
84	0.3454104479
85	0.3424148205
86	0.3395303287
87	0.336371063
88	0.3334612303
89	0.3305376552
90	0.3279127264
91	0.3258072705
92	0.3232600925
93	0.3210282694
94	0.3188341448
95	0.3166693965
96	0.31473479
97	0.3129025021
98	0.3109808724
99	0.3090511508
100	0.3071853098
101	0.3057172054
102	0.3038840589
103	0.3020300715
104	0.3008969059
105	0.299621303
106	0.298344932
107	0.2968944788
108	0.2955076287
109	0.2942620408
110	0.2928835038
111	0.291571304
112	0.2903840523
113	0.2893836083
114	0.2882456938
115	0.287212177
116	0.2863780979
117	0.2853513197
118	0.2844435876
119	0.2836335729
120	0.2827679137
121	0.2820005863
122	0.281216755
123	0.2805466563
124	0.2796882043
125	0.2791248789
126	0.2782399255
127	0.2775860075
128	0.2768828634
129	0.2763935516
130	0.2757524731
131	0.2752324156
132	0.2745526579
133	0.2740231132
134	0.2733944093
135	0.2729442287
136	0.2725109831
137	0.2720752476
138	0.2715165828
139	0.2710532658
140	0.2705405171
141	0.2702242606
142	0.2697985459
143	0.2694647734
144	0.2690117669
145	0.2686110395
146	0.2682972687
147	0.2680309115
148	0.2677440595
149	0.2673431128
150	0.267111407
151	0.2668834364
152	0.2665994379
153	0.2663248221
154	0.2660111116
155	0.2657984736
156	0.2655646854
157	0.2652785297
158	0.2649638724
159	0.2648033982
160	0.2645607449
161	0.264433247
162	0.2641809491
163	0.2640532825
164	0.2638813817
165	0.2636784308
166	0.2635270535
167	0.2632167566
168	0.2631108171
169	0.2629993863
170	0.262741392
171	0.2626213465
172	0.2623003785
173	0.2619832649
174	0.2618243819
175	0.2616306553
176	0.261419551
177	0.2611270267
178	0.2608641623
179	0.2605958965
180	0.2603529268
181	0.2601333358
182	0.2600272742
183	0.2598435117
184	0.259740461
185	0.2595448545
186	0.25936164
187	0.259215482
188	0.2590745241
189	0.258909897
190	0.2587924466
191	0.258580886
192	0.2584297065
193	0.2583007897
194	0.2582068696
195	0.2579169482
196	0.2577335942
197	0.257674938
198	0.257498194
199	0.2573991145
200	0.2571492623
201	0.2569747312
202	0.2567981036
203	0.2566119071
204	0.2564175698
205	0.2562891971
206	0.2561999289
207	0.2560548352
208	0.255988297
209	0.2557925851
210	0.2557016876
211	0.2554482463
212	0.2553654182
213	0.2552862056
214	0.2552195432
215	0.2551360021
216	0.2550227579
217	0.2549475183
218	0.2548598172
219	0.2546444651
220	0.2544727305
221	0.2543469665
222	0.2542819603
223	0.254066911
224	0.2539974321
225	0.2538817472
226	0.2537191117
227	0.2536884696
228	0.2534563615
229	0.2532728532
230	0.2530576753
231	0.2528766097
232	0.2528268536
233	0.2527056103
234	0.2525817637
235	0.2524845164
236	0.2523170889
237	0.2522277233
238	0.2521747344
239	0.2520528979
240	0.2519666444
241	0.2516673722
242	0.2515862946
243	0.251463737
244	0.2514051155
245	0.2512660824
246	0.2510519449
247	0.2509151875
248	0.2508334614
249	0.2507353141
250	0.2505913523
251	0.2505124386
252	0.2503523695
253	0.2503045497
254	0.2502251503
255	0.2501394841
256	0.2500563237
257	0.2499513546
258	0.2498565663
259	0.2497787337
260	0.2496981253
261	0.2496053154
262	0.2494816058
263	0.2493532307
264	0.249258317
265	0.2492093333
266	0.2491273269
267	0.2490015009
268	0.2488273297
269	0.2487254315
270	0.2487105346
271	0.2486609529
272	0.2485871022
273	0.2484973496
274	0.2483734217
275	0.2482937119
276	0.2482254563
277	0.2479269986
278	0.2478439754
279	0.2477797074
280	0.2476576419
281	0.2475264864
282	0.2473233389
283	0.2472857656
284	0.2472561407
285	0.2471482678
286	0.2470779303
287	0.2470318126
288	0.2469639534
289	0.2469057911
290	0.2467812183
291	0.2467273756
292	0.2466920029
293	0.2466392945
294	0.2464805073
295	0.2463206197
296	0.246043828
297	0.2457774536
298	0.2456992746
299	0.2455784139
300	0.245515425
301	0.2454854044
302	0.2454240135
303	0.2453875058
304	0.2453386965
305	0.2452715482
306	0.245184043
307	0.2451448166
308	0.2450991902
309	0.2449814218
310	0.2449262998
311	0.2447331786
312	0.2446194167
313	0.2444780439
314	0.2444302108
315	0.2442825461
316	0.2440320417
317	0.2438190151
318	0.243781171
319	0.2436686052
320	0.2436247442
321	0.2435720245
322	0.2433998344
323	0.2433569072
324	0.2431516887
325	0.2429133757
326	0.242844953
327	0.2427124511
328	0.242478454
329	0.2424340352
330	0.2422450503
331	0.2422079092
332	0.2421561152
333	0.242048706
334	0.2420233262
335	0.2419751416
336	0.2417832017
337	0.2417444313
338	0.2415346767
339	0.241507316
340	0.2414828608
341	0.2414533289
342	0.2414399004
343	0.2414116147
344	0.2413683652
345	0.2412139063
346	0.2411822655
347	0.2410217998
348	0.2409974626
349	0.240948924
350	0.2409129815
351	0.2407568563
352	0.2407023204
353	0.2406807868
354	0.2406534988
355	0.2406080378
356	0.2405968797
357	0.2405678777
358	0.2405160109
359	0.24030088
360	0.2401873378
361	0.2400772356
362	0.2399340944
363	0.2399134248
364	0.239862874
365	0.2397591767
366	0.2395980381
367	0.2394184506
368	0.239369097
369	0.2393209823
370	0.239279792
371	0.239239657
372	0.2392141524
373	0.2391913583
374	0.2391457716
375	0.2390477828
376	0.2388503125
377	0.2388117864
378	0.23879387
379	0.2386053339
380	0.2385677679
381	0.2385500099
382	0.2385108861
383	0.2383997482
384	0.2382784528
385	0.2382589332
386	0.2381289851
387	0.2380203881
388	0.2379219488
389	0.2377477515
390	0.2377122282
391	0.2376307435
392	0.2375993007
393	0.2374749422
394	0.2374405073
395	0.2372595069
396	0.23708501
397	0.2370513951
398	0.2369400538
399	0.2368885134
400	0.2367479725
401	0.2366380882
402	0.2364705615
403	0.2364515117
404	0.2364193885
405	0.2363880808
406	0.2363632417
407	0.236333206
408	0.2363066378
409	0.2361668829
410	0.2360585132
411	0.2360401991
412	0.2360022642
413	0.2359802933
414	0.2358174967
415	0.2356513153
416	0.2356384352
417	0.23553278
418	0.2355076791
419	0.2353708383
420	0.2351780435
421	0.2351414785
422	0.2351142097
423	0.2350231148
424	0.2349174551
425	0.2347210325
426	0.2347027002
427	0.2346294049
428	0.2346002512
429	0.2344359035
430	0.2342767483
431	0.2342652607
432	0.2340898274
433	0.2339357998
434	0.2338316338
435	0.2336693341
436	0.233591836
437	0.2334727597
438	0.2333360838
439	0.2332203225
440	0.2331174203
441	0.233016112
442	0.2328469375
443	0.2328355528
444	0.2328143702
445	0.2327928589
446	0.2326076135
447	0.232519954
448	0.232420144
449	0.2322594237
450	0.2322227593
451	0.2320927019
452	0.2320837124
453	0.2320244119
454	0.2318657401
455	0.2317382827
456	0.2315816974
457	0.2315721926
458	0.2315497593
459	0.2315310928
460	0.2313717999
461	0.2312884589
462	0.231265934
463	0.2311083654
464	0.2310826051
465	0.2310740091
466	0.2309287145
467	0.2309035251
468	0.2307665275
469	0.2306441455
470	0.2304638381
471	0.2303087333
472	0.2301557648
473	0.2300579181
474	0.2300272391
475	0.2300155383
476	0.2298580928
477	0.229706999
478	0.2296180299
479	0.2294723164
480	0.229323137
481	0.2292527702
482	0.229114846
483	0.2290838362
484	0.2289061998
485	0.2287587378
486	0.2287548121
487	0.2286863247
488	0.2285440046
489	0.2284030081
490	0.2282677875
491	0.2282604441
492	0.2282155267
493	0.2281450302
494	0.2281206936
495	0.2280969783
496	0.2279587848
497	0.2279145223
498	0.2278327474
499	0.2276946951
500	0.2275733466
501	0.2275619358
502	0.2274331553
503	0.2273104619
504	0.2271722837
505	0.2271182099
506	0.2269437591
507	0.2268254178
508	0.2268074456
509	0.2266999162
510	0.2266945677
511	0.2265235334
512	0.2264005607
513	0.2262530316
514	0.2262188743
515	0.2260974056
516	0.225951839
517	0.2258787261
518	0.2257512991
519	0.2256076277
520	0.2254845695
521	0.225378667
522	0.2252397482
523	0.2251169027
524	0.2250010875
525	0.2248590541
526	0.2247189951
527	0.2245808831
528	0.224444691
529	0.2244246419
530	0.2244016907
531	0.2242640669
532	0.2241936336
533	0.2241014884
534	0.2240790835
535	0.2239446117
536	0.2239261444
537	0.2237935461
538	0.2237759285
539	0.2236623882
540	0.2235339979
541	0.2235055742
542	0.223419337
543	0.223320643
544	0.2232270219
545	0.2232056086
546	0.2230756814
547	0.2229650297
548	0.2229244369
549	0.2227961798
550	0.2227821299
551	0.2226556586
552	0.222601562
553	0.2224768376
554	0.2223632218
555	0.222197257
556	0.2221858914
557	0.2220798669
558	0.2219672173
559	0.2218437989
560	0.2217646202
561	0.2216019326
562	0.221530329
563	0.2214096018
564	0.2212795429
565	0.2212683738
566	0.2211469166
567	0.2209869571
568	0.2209464284
569	0.2208666437
570	0.2207237907
571	0.2205678224
572	0.2204513522
573	0.2204334611
574	0.2203120361
575	0.2201994652
576	0.2201320252
577	0.2201108166
578	0.2200049463
579	0.219885109
580	0.2198740035
581	0.2197699485
582	0.2196638242
583	0.2195341145
584	0.2195178282
585	0.2194285429
586	0.2193100491
587	0.2193016656
588	0.219290868
589	0.2191739849
590	0.2190759068
591	0.2189606603
592	0.21882211
593	0.2187431911
594	0.2185919004
595	0.2184436398
596	0.2183525862
597	0.2182825159
598	0.2182793724
599	0.2182585786
600	0.2182050948
601	0.2180595684
602	0.2179453582
603	0.217867516
604	0.2177494731
605	0.2176617746
606	0.2176462311
607	0.2176364879
608	0.2175237393
609	0.217513318
610	0.2174021263
611	0.2172931763
612	0.2171834396
613	0.2170604327
614	0.2169686852
615	0.2168253421
616	0.2167175431
617	0.2166351379
618	0.2165177859
619	0.2164911019
620	0.2164703122
621	0.2164549682
622	0.2163371348
623	0.216196829
624	0.2161063824
625	0.216086088
626	0.2159848419
627	0.215965051
628	0.2158558833
629	0.2157435211
630	0.2156811184
631	0.2155692824
632	0.2154909275
633	0.2154198135
634	0.2153162123
635	0.2152298023
636	0.2151783278
637	0.2151660327
638	0.2151466819
639	0.2151278139
640	0.2151117389
641	0.2150191047
642	0.2149185156
643	0.2148105533
644	0.2147041048
645	0.2146543612
646	0.2145493934
647	0.2145301749
648	0.2144401562
649	0.214341345
650	0.2142376708
651	0.2141450871
652	0.214121404
653	0.2140154049
654	0.2139115024
655	0.21389699
656	0.2138261086
657	0.2137053314
658	0.2136420586
659	0.2135158043
660	0.2134285409
661	0.2133777014
662	0.2133589485
663	0.2133311746
664	0.2133042547
665	0.2132444163
666	0.2132368653
667	0.2132240201
668	0.2131884429
669	0.2130943915
670	0.2130832827
671	0.2129845067
672	0.2128775209
673	0.2127744191
674	0.2126697516
675	0.2126338549
676	0.2125476448
677	0.2125372722
678	0.2124653469
679	0.2123466967
680	0.2122980656
681	0.2121961816
682	0.2121290285
683	0.212113402
684	0.2120313237
685	0.2119166064
686	0.2118272176
687	0.2118171002
688	0.2117592769
689	0.2117042807
690	0.2116771904
691	0.2116087431
692	0.2115301911
693	0.2114537299
694	0.2113843301
695	0.2113662604
696	0.2113138257
697	0.2112960303
698	0.211204024
699	0.2111092186
700	0.2110082208
701	0.2109071496
702	0.2108508323
703	0.2108441379
704	0.2108224485
705	0.2107227237
706	0.2107071994
707	0.2106174889
708	0.2105199134
709	0.2104547863
710	0.2103563771
711	0.2102950731
712	0.2102763934
713	0.2102015385
714	0.2101905685
715	0.2100945753
716	0.2099982752
717	0.2099875522
718	0.2099178474
719	0.2098206577
720	0.2097211504
721	0.2096262808
722	0.2096205487
723	0.2095684555
724	0.2094807902
725	0.20938487
726	0.2093229017
727	0.2092209387
728	0.2091174903
729	0.2090401212
730	0.2089411894
731	0.208931968
732	0.2089223196
733	0.2089041276
734	0.2087642855
735	0.208679452
736	0.2086068145
737	0.208510547
738	0.2084279633
739	0.2083397588
740	0.2082443904
741	0.2082159358
742	0.2081870676
743	0.2081006825
744	0.2080137314
745	0.2079143682
746	0.2078914225
747	0.2077972877
748	0.207705426
749	0.2076325335
750	0.2076146819
751	0.2075202783
752	0.2075145008
753	0.2074373524
754	0.2073910496
755	0.2073534689
756	0.2073360424
757	0.2072564279
758	0.2072155034
759	0.2071834529
760	0.2070912437
761	0.2070790899
762	0.2070571317
763	0.2069638916
764	0.2069281794
765	0.2068330988
766	0.2067426362
767	0.2066712484
768	0.2065792299
769	0.2065099059
770	0.2064953066
771	0.2064167087
772	0.2063902315
773	0.2062979803
